"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
AppPermissionService,package:docly/core/services/app_permission_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
DataFormat,package:syncfusion_flutter_pdf/src/pdf/implementation/forms/enum.dart,1,16,16,0,0,0,0,0,1,16,16,0
ZLibDecoder,package:archive/src/codecs/zlib_decoder.dart,1,16,16,0,0,0,0,0,1,16,16,0
SignatureFlags,package:syncfusion_flutter_pdf/src/pdf/implementation/forms/enum.dart,1,16,16,0,0,0,0,0,1,16,16,0
FilePDFSource,package:syncfusion_flutter_pdfviewer/src/common/pdf_source.dart,1,16,16,0,0,0,0,0,1,16,16,0
EditorResizeMode,package:docly/features/editor/services/image_edit_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
PdfCompressionLevel,package:syncfusion_flutter_pdf/src/pdf/implementation/pdf_document/enums.dart,1,16,16,0,0,0,0,0,1,16,16,0
ForceEncoding,package:syncfusion_flutter_pdf/src/pdf/implementation/primitives/pdf_string.dart,1,16,16,0,0,0,0,0,1,16,16,0
PdfConformanceLevel,package:syncfusion_flutter_pdf/src/pdf/implementation/pdf_document/enums.dart,1,16,16,0,0,0,0,0,1,16,16,0
FilesScreen,package:docly/features/files/screens/files_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
FittedSizes,package:pdf/src/widgets/geometry.dart,1,16,16,0,0,0,0,0,1,16,16,0
PdfObjectStatus,package:syncfusion_flutter_pdf/src/pdf/implementation/io/enums.dart,1,16,16,0,0,0,0,0,1,16,16,0
PdfPageMode,package:pdf/src/pdf/document.dart,1,16,16,0,0,0,0,0,1,16,16,0
HomeScreen,package:docly/features/home/screens/home_screen.dart,1,16,16,0,0,0,0,0,1,16,16,0
TextOverflow,package:pdf/src/widgets/text.dart,1,16,16,0,0,0,0,0,1,16,16,0
PdfExifTag,package:pdf/src/pdf/exif.dart,1,16,16,0,0,0,0,0,1,16,16,0
PdfAnnotationSelectorSettings,package:syncfusion_flutter_pdfviewer/src/annotation/annotation_settings.dart,1,16,16,0,0,0,0,0,1,16,16,0
MethodChannelPdfViewer,package:syncfusion_pdfviewer_platform_interface/src/method_channel_pdfviewer.dart,1,16,16,0,0,0,0,0,1,16,16,0
PdfFormFieldCollection,package:syncfusion_flutter_pdf/src/pdf/implementation/forms/pdf_form_field_collection.dart,1,16,16,0,0,0,0,0,1,16,16,0
TextDecorationStyle,package:pdf/src/widgets/text_style.dart,1,16,16,0,0,0,0,0,1,16,16,0
NativePdfBridge,package:docly/features/pdf_editor/services/native_pdf_bridge.dart,1,16,16,0,0,0,0,0,1,16,16,0
PdfMutationService,package:docly/features/pdf_editor/services/pdf_mutation_service.dart,1,16,16,0,0,0,0,0,1,16,16,0
Uuid,package:uuid/uuid.dart,1,16,16,0,0,0,0,0,1,16,16,0
TextDecoration,package:pdf/src/widgets/text_style.dart,1,16,16,0,0,0,0,0,1,16,16,0
JObject,package:jni/src/jobject.dart,1,16,16,0,0,0,0,0,1,16,16,0
NativePdfSurface,package:docly/features/pdf_editor/widgets/native_pdf_surface.dart,1,16,16,0,0,0,0,0,1,16,16,0
CryptoRNG,package:uuid/rng.dart,1,16,16,0,0,0,0,0,1,16,16,0
MyApp,package:docly/main.dart,1,16,16,0,0,0,0,0,1,16,16,0
_LaunchRouterScreen,package:docly/main.dart,1,16,16,0,0,0,0,0,1,16,16,0
_DefaultLocalizations,package:syncfusion_flutter_core/src/localizations/global_localizations.dart,1,16,16,0,0,0,0,0,1,16,16,0
MethodChannelDeviceInfo,package:device_info_plus_platform_interface/method_channel/method_channel_device_info.dart,1,16,16,0,0,0,0,0,1,16,16,0
PdfStickyNoteIcon,package:syncfusion_flutter_pdfviewer/src/control/enums.dart,1,16,16,0,0,0,0,0,1,16,16,0
MethodChannelPermissionHandler,package:permission_handler_platform_interface/src/method_channel/method_channel_permission_handler.dart,1,16,16,0,0,0,0,0,1,16,16,0
